asli;olah;target
vaksin itu jangka waktu nya 21 hari kan ya?;;neutral
@B4BYODA Ya Allah gwe belom vaksin ke 2 😭💔👎;;negative
@schfess vaksin dulu sih nder kata aku;;positive
@schfess ikut vaksin terus ptm nya izin;;positive
vaksin ke 2 demamnya ga tinggi tapi menggigik terus😌;;negative
"@boboiboih barusan abis vaksin
ga sakit,cuma kaya di gigit kingkong aja";;positive
@alvinrio_1501 Di Bima juga langsung di vaksin di tempat... Tempatnya di polres dan Polsek.;;neutral
@mal_kamal007 Tp beda kasus sih. Klo td kasusnya masnya baru pertama kali vaksin tapi di nik dia pas diliat dh pern… https://t.co/GO7XSWF7wh;Tp beda kasus sih. Klo td kasusnya masnya baru pertama kali vaksin tapi di nik dia pas diliat dh pernah vaksin dosis 1. Jd kek nik dia dipake orang buat vaksin. Trs kata petugasnya klo dh pernah vaksin trs mo vaksin lg ga bs soalnya di nik nya bakal warna kuning pas dicek.;negative
"Yuk jangan ragu untul vaksin lagi,semoga herd imunity segera tercipta
Lekas pulih negeriku… https://t.co/RS5zsBV9yK";;positive
@evylagi Loh kok sudah vaksin bukannya belum 3 bukan kena covid?;;negative
"Hello guys! Sikit lagi kena nak bebas macam sebelum ni 💪🏻 

Vaksin bagi peluang kepada kita jalani hidup seperti bi… https://t.co/Lqi4zRWvTD";;positive
Lapar lwn mengantuk judulnya imbah vaksin ni;;positive
Dandim 0402/OKI Tinjau Pelaksanaan Vaksin Di Mesuji Raya https://t.co/VQzMvyinpN;;neutral
@schfess Mending pilih vaksin;;positive
@gumballgembel Alasanku sih me time ya karena aku hampir burn out dan dapet kabar kurang menyenangkan lah di lingku… https://t.co/a3uGNhs9qc;;neutral
BPKB Tinjau Ketersediaan Vaksin di Biofarma Bandung https://t.co/7dKExkxywO;;neutral
"Ayo Jateng, sehat dengan vaksin. 
#SukseskanVaksinasiJawaTengah
#IndonesiaSehatIndonesiaHebat https://t.co/oC0T7VzsKO";;positive
@KAI121 kayaknya di aplikasi kai acsess sudah terdeteksi vaksin blmnya;;neutral
@bertanyarl Aku dulu pas vaksin pertama az efeknya juga gitu nder, demam 3 hari, mual, diare 2 minggu. Tapi pas vak… https://t.co/y348gbNQY3;Aku dulu pas vaksin pertama az efeknya juga gitu nder, demam 3 hari, mual, diare 2 minggu. Tapi pas vaksin kedua aman aman aja sih;negative
@PLindungi Halo min mohon dibantu saya sudah vaksin kedua namun belum terbit sertifikat baik yg pertama maupun yg k… https://t.co/ay1HvGeb72;Halo min mohon dibantu saya sudah vaksin kedua namun belum terbit sertifikat baik yg pertama maupun yg kedua... Untuk tanggal dan jenis vaksin semua data tersedia... Apa yg perlu sy lakukan?;negative
@janebukanjein Vaksin keduanya sakit juga gak?;;neutral
Rabu 22092021, Wakil Bupati Bantul Drs. Joko Purnomo berserta rombongan melaksanakan pengecekan vaksinasi di Kelura… https://t.co/nPjRJgxLpc;"Rabu 22092021, Wakil Bupati Bantul Drs. Joko Purnomo berserta rombongan melaksanakan pengecekan vaksinasi di Kelurahan Banguntapan Bantul. Dalam rangka program ""kalurahan wani vaksin"" untuk percepatan vaksinasi warga masyarakat. Yang di fasilitasi oleh biro Tapem Sekda DIY.
";neutral
@itSUNGH00N 🙄🙄🙄 NYAMPAH JEEE JDNSMSJA SIHAAT JEE DAH AMBIK VAKSIN DAH SEMALAM;;neutral
Efek vaksin dosis terakhir kok krasa bgt yah :'(;;negative
@bernamadotcom @IsmailSabri60 @JKJAVMY @KKMPutrajaya @officialmosti Kalau pakai vaksin sinovac dgn pfizer kn mudah krja ckit… cepat dn mudah;;positive
@HND3RYWNG Vaksin keduanya sakit juga gak?;;neutral
@miillouu yey lo udah vaksin blm mim;;neutral
@ekbenlicious Harus dua kali vaksin ga?;;neutral
@growupgurl @AREAJULID Aku bantu jwab ya. Kl kamu ada penyakit gitu sebenarnya bisa vaksin juga, tapi harus ada suk… https://t.co/Svu7hJHIau;Aku bantu jwab ya. Kl kamu ada penyakit gitu sebenarnya bisa vaksin juga, tapi harus ada suket dokter yang kamu check gitu. Dokter yang nanti menentukan km bisa lanjut vaksin atau kamu akan dapat suket dokter bahwa kamu tidak bisa vaksin. CMIIW;neutral
Semoga proses vaksinasi ini berjalan lancar. Warga Jateng sudab mendapatkan vaksin door to door guna utk mempercepa… https://t.co/j40el81AUB;"Semoga proses vaksinasi ini berjalan lancar. Warga Jateng sudab mendapatkan vaksin door to door guna utk mempercepat herd imunity. Semangat selalu pemerintah.
#SukseskanVaksinasiJawaTengah
#IndonesiaSehatIndonesiaHebat";positive
"Kegiatan Geladi  Gerai 240 Vaksin  Merdeka Tahap 2.

Lokasi :
Sekertariat RW 21 Kel. Teluk Pucung Kec. Bekasi Utara… https://t.co/CyzRBQnbTw";;neutral
"Makanya ngeluarin senjata wajib sertifikat vaksin...biar pada vaksin dan dagangan laris manis.

#BUMNBangkrut… https://t.co/GW57GduF8E";;positive
vaksin kedua sakit ngga sih?;;neutral
@Polresta_Solo Polri menggelar Vaksinasi Massal Dosis Dua di gerai vaksinasi masyarakat bisa mendapatkan vaksin Cov… https://t.co/FdoRLQds4a;"Polri menggelar Vaksinasi Massal Dosis Dua di gerai vaksinasi masyarakat bisa mendapatkan vaksin Covid-19 secara gratis.

#PercepatKekebalanKomunal
Tercapai Herd Immunity";neutral
JAIS Akan Serah Nama Individu Tidak Mahu Divaksin Kepada Sultan Selangor | https://t.co/wEuGY73Xxt #covid19 #jais #sultanselangor #vaksin;;positive
"@airmatabanggarr Klo astrazeneca setauku cmn ringan ke sedang sih

Trus katane bapakku pas habis vaksin moderna yg… https://t.co/WEcEwgZdPL";;neutral
TNI AL Lantamal I gelar Vaksinasi Nelayan gabion tunda Melaut demi Untuk mendapatkan vaksin https://t.co/ZqBu1CiHd5;;neutral
@uinwsfess Yak diriku yg belum vaksin kedua jadi ngga yakin;;neutral
Buat yang belum vaksin. https://t.co/q4D9KY118b;Buat yang belum vaksin.;positive
@convomf aku jg sm nder, pas nelp 119 ternyata datanya blm diinput sm pihak faskes, disuruh dateng ke faskes bawa k… https://t.co/3FLtiib81O;aku jg sm nder, pas nelp 119 ternyata datanya blm diinput sm pihak faskes, disuruh dateng ke faskes bawa kartu vaksin biar mereka input;neutral
@deanxyv_ Efek nya tiap org beda². Km vaksin apa?;;neutral
"""Mengapa presiden jadi yang pertama? Bukan hendak mendahulukan diri sendiri, tapi agar semua yakin bahwa vaksin ini… https://t.co/1CNSkeC3ge";"""Mengapa presiden jadi yang pertama? Bukan hendak mendahulukan diri sendiri, tapi agar semua yakin bahwa vaksin ini aman dan halal. Jadi, siap-siap saja,"" ujarnya.

#Jawab_ET #VaksinJokowi
@erickthohir";positive
"Ribuan Dosis Vaksin Corona Kembali Disuntikan pada Masyarakat Bojonegoro
. 
Simak selengkapnya di: 
.… https://t.co/qCrWvoXAwk";;positive
"3) 
Wilayah dgn capaian target vaksinasi rendah harus diberikan perhatian lebih dan juga vaksinasi untuk para lansi… https://t.co/FWDoeyjpwP";;neutral
@bertanyarl T-tapi makin banyak yg remehin🥲 kan udh turun udah vaksin jd bebas ga pake prokes...;;negative
@PKSejahtera @netty_heryawan Eropa Amerika warganya menolak vaksin, kenapa kita memilih produksi vaksin;;negative
@convomfs Coba banyakin istirahat aja nder, klo engga konsul biasanya suka di kasih nomer sama relawan vaksin nya tuu;;neutral
@convomf sign in lewat web dulu cb , no hp nya sama yg kayak km daftarin pas vaksin;;neutral
Vaksin Mudah IZI untuk Masyarakat Kolaborasi YARSI dan Paragon https://t.co/WaqKS29pyK;;neutral
Percepatan vaksinasi sekarang bagian Jawa Tengah nih yang kedapetan vaksin doo too door dari mulai daerah Cilacap,… https://t.co/Mi7vQ5xOEd;"Percepatan vaksinasi sekarang bagian Jawa Tengah nih yang kedapetan vaksin doo too door dari mulai daerah Cilacap, Magelang hingga Temanggung yuk skrg buruan vaksin
 #SukseskanVaksinasiJawaTengah
#IndonesiaSehatIndonesiaHebat";neutral
"@arifbsantoso Anak tdk tertular ..
Tapi harus vaksin ..
Logika akal sehat manusia2 sakit jiwa ..?
@GiaPratamaMD… https://t.co/Kq1mcf7HnZ";;neutral
"Ustaz kata rokok ada darah babi - tak percaya

Ustaz kata vaksin tak ada babi - pun tak percaya jugak

Sebenarnya d… https://t.co/NPM6QwBvIw";;neutral
@drkiesx gatau ya soalnya blm vaksin;;neutral
@PolrestabesSby Ayo vaksin;;positive
@windaakaniaa @Im59676099 @FFOODFESS Setelah vaksin;;positive
BPKP cek ketersediaan vaksin di Bio Farma Bandung https://t.co/1xulP4yakT;;neutral
"Vaksin COVID-19 : Jok Remaja Hik Vaksin

Dengarkan di asyikfm esok pada pukul 11.30 pagi bersama Dr. Diana Mahat, P… https://t.co/P8SGM74XVs";;positive
time aku teman pi vaksin la dia bru nak sampai;;positive
"Bapak presiden Jokowi mengajukan diri sebagai orang pertama yang akan menerima suntikan vaksin Covid-19.

VAKSIN ti… https://t.co/7WTCuuIolk";;positive
"@KemenkesRI 
 Di Papua kita mau berangkat keluar di wajibkan Vaksin.
Contoh, dari Jayapura mau ke Wamena, harus ada… https://t.co/MB8gE194BT";;neutral
"Piala AFF 2020 Akan Kembali Digelar, Timnas Indonesia Siap Juara https://t.co/Y8i29C2lFY 

#SyariahSumberKeberkahan… https://t.co/5DUfi3YXwB";"Piala AFF 2020 Akan Kembali Digelar, Timnas Indonesia Siap Juara https://baperanews.com/piala-aff-2020-akan-kembali-digelar-timnas-indonesia-siap-juara 

#SyariahSumberKeberkahan
LEE JENO THANK YOU
#PLNMobile
#922StarsForSeungmin
#SemuaMakinMudah
Vaksin Lindungi Indonesia
Partai
#스트레이키즈";neutral
@schfess Vaksin aja nder ijin dlu;;positive
Niatnya mau bawa kucing vaksin, taunya malah kabur. Astaga itam bisa balik kerumah sendiri ga ya;;neutral
Bekerjasama dengan RS Tiara Cikupa, Golkar Gelar Gebrak Vaksin COVID-19 di Desa Jayanti  https://t.co/e3CpIvx27U;;neutral
manakala 91.8% telah menerima dos vaksin yg pertama. SOP di pulau ini juga dikawal rapi oleh pihak polis, navy dan… https://t.co/hGsPdX74hj;manakala 91.8% telah menerima dos vaksin yg pertama. SOP di pulau ini juga dikawal rapi oleh pihak polis, navy dan RELA serta ditempatkan di tempat tumpuan seperti Airport, Jetty, Pantai Chenang dan Kuah. Sekalung penghargaan untuk kerajaan kerana membuka LGK sebagai;positive
@kitaashinsuke Waaa congratss, ditempatku lagi kosonh vaksin 2:(;;negative
mau vaksin https://t.co/XEYcS6R8Pz;anjir gue kira service center;positive
Mulai dari warga hingga pelajar warga jawa tengah kini gilirannya vaksin. Semangat !!! Corona hilang.… https://t.co/ndbHK5IfqC;"Mulai dari warga hingga pelajar warga jawa tengah kini gilirannya vaksin. Semangat !!! Corona hilang.
#SukseskanVaksinasiJawaTengah
#IndonesiaSehatIndonesiaHebat";positive
"Ceceh gw 2 orang nunjukin foto/video anaknya bisa main piano lah di grup wa, naik sepeda lah  di grup wa family

gw… https://t.co/ZReQGlrofA";;neutral
@schfess Klo misalnya pas PTM itu gaada UH atau hal penting yg urgent lainnya mending ijin aja, soalnya setau ak bu… https://t.co/XASOlKNsAY;Klo misalnya pas PTM itu gaada UH atau hal penting yg urgent lainnya mending ijin aja, soalnya setau ak bukannya syarat PTM juga hrus vaksin ya? Tapi gatau sih😭 Tapi mnurut ak mending vaksin dulu;positive
Melanje di warung madura wajib scan barcode pedulilindungi sama bawa kartu vaksin ga ya ?;;neutral
@convomf tunggu aja nderr waktu itu punya mama aku ampe 3 harian juga ga keluar sertif ama disuru vaksin lg;;negative
52 kereta api lokal sudah mulai beroperasi, syarat wajib untuk naik kereta minimal harus sudah vaksin dosis pertama… https://t.co/MLZgqtaPF7;52 kereta api lokal sudah mulai beroperasi, syarat wajib untuk naik kereta minimal harus sudah vaksin dosis pertama #Daop8Surabaya;neutral
@schfess Abis itu klo giliran ptm lagi kan isa tenangg udh vaksin;;positive
@magenta_tear aku pon tak vaksin hm;;negative
@lampungbase Vaksin dosis 1. Diutamakan untuk mahasiswa dan civitas akademika uin;;neutral
TNI dan Polri menyuntikkan sebanyak 9.000 dosis vaksin tahap pertama bagi warga Lampung di tiga lokasi.… https://t.co/kuJfj7XGpY;"TNI dan Polri menyuntikkan sebanyak 9.000 dosis vaksin tahap pertama bagi warga Lampung di tiga lokasi. 

#VaksinasiCovid19 #lampung #beritaterkini #lampostco";neutral
@schfess Aku tadi PTM dulu absi itu vaksin;;positive
"Bapera Serahkan Bantuan Untuk Korban Banjir Katingan https://t.co/4bwTK5rLXg 

#SyariahSumberKeberkahan
LEE JENO TH… https://t.co/bzIcB3Waxa";"Bapera Serahkan Bantuan Untuk Korban Banjir Katingan https://baperanews.com/bapera-serahkan-bantuan-untuk-korban-banjir-katingan 

#SyariahSumberKeberkahan
LEE JENO THANK YOU
#PLNMobile
#922StarsForSeungmin
#SemuaMakinMudah
Vaksin Lindungi Indonesia
Partai
#스트레이키즈";neutral
Yg di Depok dan belum vaksin ❤❤ https://t.co/LL2ydRXiVe;Yg di Depok dan belum vaksin ❤❤;positive
@moa_amalia WAHH AHAHAHA emg sih rata2 kalo di shopee ya paling jastip gtu soalnya skrng ke ikea maybe harus vaksin… https://t.co/DWjgitlrrt;WAHH AHAHAHA emg sih rata2 kalo di shopee ya paling jastip gtu soalnya skrng ke ikea maybe harus vaksin kmrn juga aku kesana ada maks orang nya umur juga ada batasan nya;neutral
2 kali ke supermaket, 2 kali parkir di basement, 2 kali juga gagal scan qr code pedulilindungi karena gak ada sinya… https://t.co/ZGGGf5L49f;"2 kali ke supermaket, 2 kali parkir di basement, 2 kali juga gagal scan qr code pedulilindungi karena gak ada sinyal 😑 
Padahal udah bikin print out kartu vaksin tapi lupa aja dikantongin tiap pergi";negative
anti vaksin ke beliau ni? 🙄;;negative
"@schfess Vaksin aja dulu
Ijin mesti boleh kok kalo urusannya buat vaksin";;positive
@mal_kamal007 Ketauan. Barusan ak vaksin di kampus, ada yg kek gtu.;;positive
Abis vaksin tanganku kemeng;;positive
Wah alhamdulillah nih warga temanggung yang kedapetan vaksin door to door dengan menyeluruh di Jawa Tengah termasuk… https://t.co/iPQ4ZACvHN;"Wah alhamdulillah nih warga temanggung yang kedapetan vaksin door to door dengan menyeluruh di Jawa Tengah termasuk Magelang dan Cilacap nih
#SukseskanVaksinasiJawaTengah
#IndonesiaSehatIndonesiaHebat";positive
"Masyarakat sudah sadar betapa pentingnya vaksin satu
Contoh di Magelang Jawa Tengah para warga cukup antusias denga… https://t.co/OyyIB9otzT";;positive
"Siapa yang dibenarkan walk-in di PPV? 🧐

✅ Remaja yang tidak bersekolah boleh walk-in di mana-mana PPV yang berdeka… https://t.co/HN5kZoIvKa";;neutral
Pemberian vaksin kepada remaja 𝟭𝟮-𝟭𝟳 𝘁𝗮𝗵𝘂𝗻 secara walk-in berjadual di PPV awam dan integrasi akan bermula 𝗞𝗵𝗮𝗺𝗶𝘀,… https://t.co/yEQGMLFpzE;"Pemberian vaksin kepada remaja 𝟭𝟮-𝟭𝟳 𝘁𝗮𝗵𝘂𝗻 secara walk-in berjadual di PPV awam dan integrasi akan bermula 𝗞𝗵𝗮𝗺𝗶𝘀, 𝟮𝟯 𝗦𝗲𝗽𝘁.
";neutral
@rindoumaniaa YA BISA NNTN KN KUDU HARUS VAKSIN DULU YANC;;neutral
"@schfess mmm☹️
ikut vaksin aja, nnti pas PTM kan jdinya udh vaksin👍";;neutral
@henrysubiakto Kan sudah vaksin pak. Buat apa colok hidung lagi ? Anda di pemrintahan baca tweet anda kita makin bingung.;;negative
@patriciamike80 @JapenSabah @MasidiM @IsmailSabri60 @HishammuddinH2O @MKNJPM @Khairykj Jangan kan rentas negeri.. r… https://t.co/TzNZ35pp7M;Jangan kan rentas negeri.. rentas dearah pn tak boleh.. seronok tgok negeri lain dh blh rentas dearah dan blh melancong dlm negeri sndri..apa lh ertinya lengkap 2 dose vaksin.;negative
"Bapera Sulsel Salurkan Bantuan Sembako di 3 Panti Asuhan https://t.co/ebP3GdBajZ 

#SyariahSumberKeberkahan
LEE JEN… https://t.co/jlbY8DovtK";"Bapera Sulsel Salurkan Bantuan Sembako di 3 Panti Asuhan https://baperanews.com/bapera-sulsel-salurkan-bantuan-sembako-di-3-panti-asuhan 

#SyariahSumberKeberkahan
LEE JENO THANK YOU
#PLNMobile
#922StarsForSeungmin
#SemuaMakinMudah
Vaksin Lindungi Indonesia
Partai
#스트레이키즈";neutral
Anggota Polsek Pangalengan Awasi Pelaksanaan Gerai Vaksin Presisi Vaksinasi Ke-1 Bagi Siswa/I SMKN 5 Pangalengan… https://t.co/0K5qxEBvnO;"Anggota Polsek Pangalengan Awasi Pelaksanaan Gerai Vaksin Presisi Vaksinasi Ke-1 Bagi Siswa/I SMKN 5 Pangalengan https://kimcipedes.com/2021/09/anggota-polsek-pangalengan-awasi-pelaksanaan-gerai-vaksin-presisi-vaksinasi-ke-1-bagi-siswa-i-smkn-5.html 
@PolsekPangalen7
 
@polsekpangalen1
 
@POLRES_BANDUNG
 #KimCipedes";neutral
@lampungbase Lagi ada vaksin  mungkin;;neutral
@S4H4B4T6 Berita lama tapibranpa tanggapan dan pertanggungjawaban program nasional vaksin;;neutral
@goPuudd @FWBESS Tergantung tujuan, udh 2x vaksin ttp pcr urg;;negative
alhamdulillah , udah vaksin moderna 2x , semoga ga jd zombie 😆;;positive
Penjawat awam perlu akur syarat wajib vaksin, kata CUEPACS #FMTNews https://t.co/bfmdQ3BloA;;neutral
@__Sridiana_3va Emang nikah hrs ad srt vaksin dok;;neutral
Jimin BTS berikan sumbangan untuk vaksin polio https://t.co/QqT7BYxwdR;;neutral
Alhamdulillah! Uji Coba Vaksin Pfizer, Aman Untuk Anak-Anak https://t.co/AQJ00HOmN0;;positive
"Terkendala Internet, Tes SKD CPNS Akan Dijadwalkan Ulang https://t.co/SuIdIFO90G 

#SyariahSumberKeberkahan
LEE JEN… https://t.co/0E3zG9iD6Z";"Terkendala Internet, Tes SKD CPNS Akan Dijadwalkan Ulang https://baperanews.com/terkendala-internet-tes-skd-cpns-akan-dijadwalkan-ulang 

#SyariahSumberKeberkahan
LEE JENO THANK YOU
#PLNMobile
#922StarsForSeungmin
#SemuaMakinMudah
Vaksin Lindungi Indonesia
Partai
#스트레이키즈";neutral
Covid-19 Melandai, Suntik Vaksin di Sampang Capai 15 Persen https://t.co/pCHEJPQym2 https://t.co/WhoVKnpwOV;;neutral
@fslbnjm U too ya ini lg Gaenak badan abis vaksin huhu;;negative
@FWBESS vaksin ama pcr aja nderr, nanti di bandara tinggal scan barcode pcr yang ada di pedulilindungi. tapi kalo h… https://t.co/v3UIiW7TiL;vaksin ama pcr aja nderr, nanti di bandara tinggal scan barcode pcr yang ada di pedulilindungi. tapi kalo hasil pcr kamu ga masuk di peduli lindungi print manual ya nder, nanti di sana verifikasi manual;positive
Mulia Banget! Jimin BTS Beri Donasi untuk Vaksin Polio https://t.co/uj6xdr6SfN;;neutral
"KJRI Sebut Barcode Vaksin Covid-19 Indonesia Tak Terbaca Di Sistem Arab Saudi https://t.co/XJKXOMWU8e 

Box Misteri… https://t.co/71G8wRI3e9";"KJRI Sebut Barcode Vaksin Covid-19 Indonesia Tak Terbaca Di Sistem Arab Saudi https://baperanews.com/kjri-sebut-barcode-vaksin-covid-19-indonesia-tak-terbaca-di-sistem-arab-saudi 

Box Misterius
erick thohir
Tercapai Herd Immunity
PON XX Papua";negative
@mas_dikin786 @izzulrizl @stafsuscolonial @AlyRahmatiyah Alhamdulillah negara sdh memberi vaksin gratis 2 kali kpd… https://t.co/WAZhKJE8yZ;Alhamdulillah negara sdh memberi vaksin gratis 2 kali kpd rakyat yg berakal sehat dan sukarela di vaksin. Kalau ada kadrun yg nggak mau divaksin biar kembali ke goa saja...;positive
Aku hbs vaksin badannya sakit semua flish;;negative
KONSUL Haji KJRI Jeddah, Endang Jumali menyampaikan, bahwa barcode vaksin Covid-19 yang dikeluarkan oleh Kementeria… https://t.co/iC6kcfJ4hB;KONSUL Haji KJRI Jeddah, Endang Jumali menyampaikan, bahwa barcode vaksin Covid-19 yang dikeluarkan oleh Kementerian Kesehatan RI tidak terbaca oleh sistem pemindai;negative
mulai persiapan kuliah tatapmuka tapi sampe skrg masih belum bisa vaksin, mengsedih😢;;positive
Penyewaan Laptop Harian di Pekanbaru | Tempat Penyewaan Laptop Mingguan Core i5 RAM 4GB Untuk Pribadi dan Karyawan,… https://t.co/BFkH7z26Lc;"Penyewaan Laptop Harian di Pekanbaru | Tempat Penyewaan Laptop Mingguan Core i5 RAM 4GB Untuk Pribadi dan Karyawan, 
http://betabisnis.com | wa 0878 9381 1922
#sewalaptop #rentallaptop #sewanotebook #pekanbaru #betabisnis #vaksin #Skripsi #tugasakhir #penelitian #KARYAILMIAH
";neutral
KJRI Sebut Barcode Vaksin Covid-19 Indonesia Tak Terbaca Di Sistem Arab Saudi https://t.co/XJKXOMWU8e… https://t.co/TGDYFzdM9z;"KJRI Sebut Barcode Vaksin Covid-19 Indonesia Tak Terbaca Di Sistem Arab Saudi https://baperanews.com/kjri-sebut-barcode-vaksin-covid-19-indonesia-tak-terbaca-di-sistem-arab-saudi 

#Every_Second_With_Hyoyeon
Nestle
#JkwETMajukanKrakatauSteel
Usaha Mandiri UtkSemua
#StopFitnahFPI
#PercepatKekebalanKomunal
#PPKMMembawaDampakBaik";negative
@Askrlfess Nggakpapa, aku abis vaksin malah mandi nder basah sebadan2 😂;;positive
@AREAJULID Guys sorry oot mau tanya kalo gabisa vaksin karna ada penyakit tertentu itu apa ada surat keterangannya?… https://t.co/QpatxQH2Pr;Guys sorry oot mau tanya kalo gabisa vaksin karna ada penyakit tertentu itu apa ada surat keterangannya? Semacam kartu yg nunjukin kalo kita ga bisa vaksin gitu?;neutral
Moots i dah vaksin belum? Apa apa pun takecare korang even dah vaksin ❤;;positive
"KJRI Sebut Barcode Vaksin Covid-19 Indonesia Tak Terbaca Di Sistem Arab Saudi https://t.co/XJKXOMWU8e 

iKON MADE M… https://t.co/VJr1AEXj9I";"KJRI Sebut Barcode Vaksin Covid-19 Indonesia Tak Terbaca Di Sistem Arab Saudi https://baperanews.com/kjri-sebut-barcode-vaksin-covid-19-indonesia-tak-terbaca-di-sistem-arab-saudi 

iKON MADE ME PROUD
Bangga Perjuangkan Syariah
Megan
#AllRounderJinyoungDay
BANGTAN LIVE
#DakwahSyariahIslam
Ketinggalan
#요한아_생일축하해";negative
"@19yudith Iya tetap prokes n sgr vaksin

Jokowi Mampu Kendalikan Pandemi
#JokowiMampuKendalikanPandemi";;positive
parah bngt gua nyari vaksin kesana sini untung dapet, padahal vaksin kedua😫;;negative
24hrs puasa CN demiii vaksin 🙃;;neutral
KJRI Sebut Barcode Vaksin Covid-19 Indonesia Tak Terbaca Di Sistem Arab Saudi https://t.co/XJKXOMWU8e… https://t.co/kO94ylohsZ;"KJRI Sebut Barcode Vaksin Covid-19 Indonesia Tak Terbaca Di Sistem Arab Saudi https://baperanews.com/kjri-sebut-barcode-vaksin-covid-19-indonesia-tak-terbaca-di-sistem-arab-saudi 

#SyariahSumberKeberkahan
LEE JENO THANK YOU
#PLNMobile
#922StarsForSeungmin
#SemuaMakinMudah
Vaksin Lindungi Indonesia
Partai
#스트레이키즈";negative
Btw gue udh vaksin doooong jiahahaha kalian udh belom?;;positive
Mak w dikasi hadiah abis vaksin nya seharga motor beat baru lah kalau gini mah mau w divaksin 4x jg;;positive
Polda Riau Salurkan 9.000 Dosis Vaksin Pada Vaksinasi Merdeka Serentak di Pekanbaru https://t.co/6c3IkJVeWx;;neutral
@JapenSabah Knp sabah still tak boleh rentas dearah? Dh lengkap vaksin pn still xblh rentas..;;neutral
"Indonesia Kembali Terima Vaksin Covid-19 Sebanyak 5,2 Juta Dosis https://t.co/gNuGC9V9wy 

Box Misterius
erick thoh… https://t.co/1FLVCVSSaF";"Indonesia Kembali Terima Vaksin Covid-19 Sebanyak 5,2 Juta Dosis https://baperanews.com/indonesia-kembali-terima-vaksin-covid-19-sebanyak-52-juta-dosis 

Box Misterius
erick thohir
Tercapai Herd Immunity
PON XX Papua";positive
Menlu Retno minta Arab Saudi tinjau kebijakan vaksin dan umrah bagi Indonesia - ANTARA News Jawa Barat https://t.co/chiBDOBPFA;;neutral
PLS PLS AKU NERVOUS BANGET MAU VAKSIN https://t.co/6hoUYOUzlz;PLS PLS AKU NERVOUS BANGET MAU VAKSIN;positive
Pedagang di pasar tradisional didorong untuk segera mendapatkan vaksin covid-19. Hal itu seiring mulai bergeliatnya… https://t.co/pddFVaVd7s;"Pedagang di pasar tradisional didorong untuk segera mendapatkan vaksin covid-19. Hal itu seiring mulai bergeliatnya aktivitas perekonomi.

#Vaksin #VaksinCOVID19 #ekonomi #pedagang #Covid_19 #lampostco";positive
@alvinjfr vaksin pertama kga ada efek apa apa;;positive
Indonesia Kembali Terima Vaksin Covid-19 Sebanyak 5,2 Juta Dosis https://t.co/gNuGC9V9wy… https://t.co/vRBvCpH9Nw;"Indonesia Kembali Terima Vaksin Covid-19 Sebanyak 5,2 Juta Dosis https://baperanews.com/indonesia-kembali-terima-vaksin-covid-19-sebanyak-52-juta-dosis 

#Every_Second_With_Hyoyeon
Nestle
#JkwETMajukanKrakatauSteel
Usaha Mandiri UtkSemua
#StopFitnahFPI
#PercepatKekebalanKomunal
#PPKMMembawaDampakBaik";positive
Kegiatan Vaksin Merdeka di Wilayah Polsek Cilaku Polres Cianjur utk mengurangi covid 19 https://t.co/jqy28D2yYI;Kegiatan Vaksin Merdeka di Wilayah Polsek Cilaku Polres Cianjur utk mengurangi covid 19;neutral
@notoneeye @DarmadiAktiviks @GoldenV03036511 @dr_koko28 @cybsquad_ Ya karena udah vaksin aduh gimana sih, herd immu… https://t.co/EXhqCKoPPS;Ya karena udah vaksin aduh gimana sih, herd immunity kan pernyataan pemerintah setempat doang.;positive
@workharderxx gatau, tpi nnti bilang aja pas lagi screening sebelum vaksin;;neutral
@mibsuya besok vaksin gua tp ayo da liat besok;;neutral
"Indonesia Kembali Terima Vaksin Covid-19 Sebanyak 5,2 Juta Dosis https://t.co/gNuGC9V9wy 

iKON MADE ME PROUD
Bangg… https://t.co/21uSuHuOsX";"Indonesia Kembali Terima Vaksin Covid-19 Sebanyak 5,2 Juta Dosis https://baperanews.com/indonesia-kembali-terima-vaksin-covid-19-sebanyak-52-juta-dosis 

iKON MADE ME PROUD
Bangga Perjuangkan Syariah
Megan
#AllRounderJinyoungDay
BANGTAN LIVE
#DakwahSyariahIslam
Ketinggalan
#요한아_생일축하해";positive
Warga temanggung cilacap jawa tengah, kedapetan giliran vaksin door to door. Bukti nyata pemerintah dalam percepata… https://t.co/69bIR4c8Vq;"Warga temanggung cilacap jawa tengah, kedapetan giliran vaksin door to door. Bukti nyata pemerintah dalam percepatan vaksinasi.
#SukseskanVaksinasiJawaTengah
#IndonesiaSehatIndonesiaHebat";positive
"padahal ppkm sama program vaksin sudah ""kelihatan"" berhasil lo guys 😂 https://t.co/hiQ3qPws5E";Ahli UI Ramal Gelombang Ketiga Covid RI Desember 2021;positive
@__Sridiana_3va surat bukti cinta aja gak ada kog.. Yg ada cintanya.  Gitu juga vaksin gak ada,  tapi imunnya ada..;;positive
@Ch43_12udine @Bang_Dul_ Bang mau nanya sya hbis vaksin sinovac nyeri dada, udah 2 hrian, jadi takut;;negative
VAKSIN MERDEKA SERENTAK https://t.co/y9v0l2oL1O;VAKSIN MERDEKA SERENTAK;neutral
"vaksin karena wajib ❎
vaksin karena takut ngga bisa ngegym 😭 ✅ https://t.co/OyyXA2I25k";;negative
